"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\sam84\OneDrive\文件\test\valentines-website\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\sam84\OneDrive\文件\test\valentines-website\package-lock.json", "JSON", 18267, 0, 0, 0, 0, 0, 0, 1, 18268
"c:\Users\sam84\OneDrive\文件\test\valentines-website\package.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\sam84\OneDrive\文件\test\valentines-website\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\sam84\OneDrive\文件\test\valentines-website\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\App.css", "CSS", 0, 0, 0, 0, 148, 0, 9, 14, 171
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\App.js", "JavaScript", 0, 0, 242, 0, 0, 0, 6, 30, 278
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\HomePage.js", "JavaScript", 0, 0, 48, 0, 0, 0, 2, 6, 56
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\InteractiveMap.css", "CSS", 0, 0, 0, 0, 81, 0, 6, 13, 100
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\InteractiveMap.js", "JavaScript", 0, 0, 148, 0, 0, 0, 3, 15, 166
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\LoveLetter.css", "CSS", 0, 0, 0, 0, 51, 0, 2, 9, 62
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\LoveLetter.js", "JavaScript", 0, 0, 128, 0, 0, 0, 1, 13, 142
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\MusicPlayer.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 12, 131
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\PhotoGallery.js", "JavaScript", 0, 0, 299, 0, 0, 0, 4, 18, 321
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\components\TimelinePage.js", "JavaScript", 0, 0, 157, 0, 0, 0, 1, 13, 171
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\fetch\GoogleAuth.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\fetch\album.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\index.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 4, 20
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\server.js", "JavaScript", 0, 0, 26, 0, 0, 0, 3, 6, 35
"c:\Users\sam84\OneDrive\文件\test\valentines-website\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 18360, 38, 1250, 1, 301, 20, 67, 210, 20247